date,open,high,low,close
1384662300,4034.18,4036.21,4000.1,4020.53
1384662600,4009.1,4028,3980,3990
1384662900,3990,3990,3950.88,3969
1384663200,3968,4047,3962,4020
1384663500,4028.77,4029.97,3960,3990
1384663800,3990,4209,3985,4100
1384664100,4100,4108.47,4022,4080
1384664400,4080.97,4120,4080,4100
1384664700,4100,4136,4100,4101.03
1384665000,4105.87,4165,4100,4159.79
1384665300,4163.66,4217,4150,4199
1384665600,4191.03,4196,4002,4013
1384665900,4030,4119.99,4003,4096
1384666200,4095.96,4158.56,4086.3,4122
1384666500,4122,4140,4090,4120.6
1384666800,4122.93,4140,4100,4114.1
1384667100,4114.07,4149.77,4094,4101.02
1384667400,4101.02,4150,4101,4131.43
1384667700,4132.13,4190,4120.01,4180
1384668000,4160,4220,4139.41,4150.7
1384668300,4147.5,4199,4139.4,4196.07
1384668600,4191.2,4199,4153.01,4179.97
1384668900,4178.02,4180,4153.2,4156
1384669200,4157.79,4173.2,4156,4169.4
1384669500,4170.08,4174.99,4170,4170.66
1384669800,4170.54,4175,4170,4175
1384670100,4175,4215,4170.01,4194.6
1384670400,4190,4190,4164,4180.03
1384670700,4182.82,4226,4182.37,4210
1384671000,4212,4215.37,4191.02,4215
1384671300,4215,4220,4200,4206.86
1384671600,4205,4217.1,4195,4206.8
1384671900,4206.8,4218,4196.03,4214.51
1384672200,4215.01,4215.98,4201,4210.06
1384672500,4211.81,4240,4209.97,4234.63
1384672800,4235.01,4288,4235,4276
1384673100,4287.87,4300,4266.08,4271.71
1384673400,4270.01,4288,4237.98,4287.64
1384673700,4287.97,4297,4220,4273.88
1384674000,4273.88,4273.88,4200,4240.97
1384674300,4221.11,4237.47,4185.71,4189.91
1384674600,4185.74,4221.1,4100,4169
1384674900,4168.97,4168.97,4000,4050.07
1384675200,4050,4198,4000,4000
1384675500,4000,4075,3950,4018.12
1384675800,4017.05,4030,3960,4016.2
1384676100,4029.88,4075,4018.21,4018.21
1384676400,4069.97,4069.97,3965,3965
1384676700,3960.1,3960.1,3900,3903.52
1384677000,3900,3950,3889,3950
1384677300,3949.99,3950,3905,3941.74
1384677600,3942.32,3955,3889,3914.66
1384677900,3917.57,3920.33,3879.26,3884.47
1384678200,3879.26,3920,3811.21,3915.53
1384678500,3899.03,3900,3850,3897.36
1384678800,3895,3895,3850,3871.21
1384679100,3853.57,3867.64,3850.02,3850.02
1384679400,3850.33,3882,3838.02,3850
1384679700,3843.01,3965,3843.01,3965
1384680000,3966,4075,3966,4048.9
1384680300,4058.9,4061.12,3900,3978.02
1384680600,3985.06,4044.28,3908.39,3965
1384680900,3965,3981.5,3951,3981.5
1384681200,3985.87,4042,3981.53,4025
1384681500,4000,4069,4000,4022.62
1384681800,4029.75,4075.2,4022.62,4050
1384682100,4050.01,4075.2,4022.63,4073.56
1384682400,4075.2,4084.16,4074.14,4075.43
1384682700,4075.35,4146.87,4075.21,4120
1384683000,4145.99,4145.99,4052.5,4091.58
1384683300,4089.54,4089.57,4050,4050
1384683600,4052,4052,4002.1,4004
1384683900,4004,4052,4002.45,4050.99
1384684200,4050.96,4089,4038,4088
1384684500,4087.98,4089,4034.02,4049.2
1384684800,4044.96,4070.04,4040.03,4070.04
1384685100,4077.68,4077.99,4021.87,4024.54
1384685400,4020.77,4023,3902,3943.31
1384685700,3943.31,4000,3943.31,3989.97
1384686000,3989,3989,3932,3953.81
1384686300,3959,4007.99,3953.85,4000.02
1384686600,4001.09,4030,3969.41,4012.72
1384686900,4012.72,4099,3999.97,4099
1384687200,4090.21,4130,4030.72,4070.41
1384687500,4079.96,4100,4070.47,4086.02
1384687800,4085,4118,4085,4088
1384688100,4088,4095,4023.01,4080
1384688400,4080,4081,4040.01,4079
1384688700,4057,4100,4053.84,4090.9
1384689000,4090.9,4100,4088.49,4100
1384689300,4100,4122,4100,4121.98
1384689600,4121.98,4147,4100,4134.96
1384689900,4114.95,4130,4106.72,4118
1384690200,4115,4118,4100,4101.9
1384690500,4101.91,4104.37,4100,4101.93
1384690800,4101.93,4145,4101.93,4110.98
1384691100,4110.98,4180,4102.17,4176.81
1384691400,4180,4200.62,4177,4200.62
1384691700,4200,4250,4195.81,4250
1384692000,4250,4290,4249.12,4251
date,open,high,low,close
1384692300,4253.02,4265.17,4216.1,4216.1
1384692600,4219.97,4248,4177,4178.97
1384692900,4177,4191.82,4161,4191
1384693200,4191.82,4205,4125.11,4150
1384693500,4138.8,4150,4131.02,4136.96
1384693800,4136,4152,4130,4142.39
1384694100,4141.84,4200,4138,4169.36
1384694400,4171.45,4199,4170,4197.5
1384694700,4196,4250,4195.8,4241
1384695000,4240.81,4244.97,4200,4200.04
1384695300,4202.04,4233.29,4200.01,4207
1384695600,4206.97,4236,4206.01,4230
1384695900,4229.97,4260,4226,4258
1384696200,4258,4280,4232.11,4245.72
1384696500,4245.72,4250,4239,4241.56
1384696800,4241.56,4259,4239,4245
1384697100,4244.97,4291.62,4244.97,4257.97
1384697400,4257.98,4259,4241.01,4251
1384697700,4250.97,4250.97,4240.6,4240.6
1384698000,4240.63,4252,4240.6,4248.33
1384698300,4242.66,4250,4239,4246.03
1384698600,4245,4245.13,4239,4240
1384698900,4244.96,4244.96,4212.1,4239.97
1384699200,4237.03,4240,4235,4238.03
1384699500,4238.03,4252,4238.03,4248
1384699800,4248,4249,4240,4244.96
1384700100,4242.97,4244.96,4231.01,4233.97
1384700400,4233.94,4244.95,4200.8,4205.15
1384700700,4205.14,4235,4200,4226.01
1384701000,4226.03,4233.04,4215,4223.1
1384701300,4224.6,4258.99,4206.16,4206.16
1384701600,4242.53,4249.1,4206.16,4230
1384701900,4230,4243.1,4230,4235
1384702200,4235,4240,4230.06,4237.97
1384702500,4237.94,4248,4237.94,4245
1384702800,4242.05,4249.8,4240,4244
1384703100,4244,4245,4230.05,4235
1384703400,4235.03,4240,4226,4236
1384703700,4236,4238.81,4150,4184.6
1384704000,4191.6,4229.99,4150,4178.91
1384704300,4168,4189.96,4137.01,4140
1384704600,4139.63,4151,4107,4135.04
1384704900,4151,4168,4132,4154.24
1384705200,4160,4219.99,4145,4200
1384705500,4200,4202.96,4150,4152
1384705800,4154.88,4198.99,4152.1,4170
1384706100,4168.01,4184.94,4157,4180
1384706400,4181.03,4186.99,4157,4175
1384706700,4171.55,4179.01,4165,4167
1384707000,4166.88,4170,4160,4170
1384707300,4168,4168,4162.12,4162.5
1384707600,4162.5,4162.5,4157.31,4158.9
1384707900,4159,4169.99,4159,4166.62
1384708200,4169,4170,4157,4160
1384708500,4164.4,4166,4160,4165.09
1384708800,4166,4166,4152.01,4152.87
1384709100,4152.01,4165.93,4152,4159.03
1384709400,4159.94,4160,4153,4156.56
1384709700,4156.56,4160.03,4153,4153
1384710000,4155.01,4155.9,4150,4153.38
1384710300,4151.41,4154.03,4140,4154.03
1384710600,4154.9,4179,4150.2,4152.76
1384710900,4153.44,4194.89,4152.79,4182.03
1384711200,4186.53,4194,4170,4193
1384711500,4193,4194,4180.01,4182.03
1384711800,4186.99,4190,4180,4185.94
1384712100,4185.01,4189.99,4180,4180
1384712400,4187,4194,4182,4190
1384712700,4188,4194.28,4187.76,4188
1384713000,4188.79,4196.7,4187.04,4196.7
1384713300,4196.7,4264.75,4193,4260
1384713600,4260.01,4280,4200,4250
1384713900,4250,4252.01,4202,4221
1384714200,4221,4232,4187.9,4230
1384714500,4230,4246.99,4215,4240.16
1384714800,4240.19,4247,4231,4237.34
1384715100,4237.34,4239,4217.77,4221
1384715400,4221.2,4240,4219.69,4240
1384715700,4231.23,4240,4230,4239.88
1384716000,4233,4240,4229,4230
1384716300,4233.7,4237.76,4219,4219.97
1384716600,4219,4230,4217.77,4220.84
1384716900,4221.61,4225,4219.08,4220
1384717200,4219.08,4225,4217.77,4217.97
1384717500,4217.8,4230,4213.15,4219.5
1384717800,4227.47,4228,4215.11,4221.13
1384718100,4221.03,4221.03,4212,4218.06
1384718400,4219.06,4223,4218.26,4222
1384718700,4220.09,4222,4218.29,4220
1384719000,4220,4230,4219.5,4225.06
1384719300,4226.97,4230.54,4226.97,4230
1384719600,4230,4230,4225,4226.58
1384719900,4226.61,4226.83,4220.14,4226.49
1384720200,4226.48,4228,4222.11,4227
1384720500,4228,4229.15,4225,4227
1384720800,4226.86,4230,4225.5,4227.62
1384721100,4225.98,4229.99,4225.5,4229.03
1384721400,4229.03,4239,4228,4235
1384721700,4234,4245.1,4231,4242.58
1384722000,4245.1,4279,4245,4278
1384722300,4276.67,4298,4250.46,4280
1384722600,4280,4295.5,4250,4277.97
1384722900,4275.03,4289.89,4275,4289.89
1384723200,4289,4450,4289,4450
1384723500,4420,4480,4400,4400
1384723800,4400,4400,4321,4390
1384724100,4397.99,4438.7,4380,4438.7
1384724400,4438.7,4479,4415.1,4440
1384724700,4440,4441.1,4420,4420.46
1384725000,4420.46,4437.5,4410,4436
1384725300,4437.5,4480,4402.5,4479.98
1384725600,4475.03,4499,4466,4495
1384725900,4494.97,4498,4429.46,4473.97
1384726200,4473.96,4480,4455,4468.02
1384726500,4470,4470,4411,4430.03
1384726800,4430.5,4469.99,4411,4460
1384727100,4449,4460,4430.05,4435
1384727400,4435.03,4448.5,4401,4427.46
1384727700,4440,4454.99,4430.46,4454.99
1384728000,4454.96,4470.5,4440.01,4441.11
1384728300,4441.99,4465,4441.99,4458
1384728600,4458,4477,4450,4474.5
1384728900,4457,4478.98,4457,4467
1384729200,4467.01,4475,4460.01,4466.97
1384729500,4461.51,4466.97,4455,4462
1384729800,4462.45,4469,4462,4465
1384730100,4465,4469,4447.01,4447.01
1384730400,4447.01,4450,4417,4417
1384730700,4417,4442,4410,4428
1384731000,4415,4464.6,4415,4464.6
1384731300,4454.6,4471,4440,4470
1384731600,4473,4474.98,4451.77,4470.04
1384731900,4469,4479,4462.14,4478.14
1384732200,4476.17,4489.98,4476.17,4484.04
1384732500,4484.04,4484.04,4453,4461.5
1384732800,4461.5,4475,4461.5,4470
1384733100,4469.81,4476.12,4465.94,4476.09
1384733400,4476.09,4483,4465.01,4477.3
1384733700,4470.1,4479.96,4468.55,4474
1384734000,4474,4479.99,4467,4471.72
1384734300,4471.4,4500,4470,4481.97
1384734600,4481.96,4500,4481,4500
1384734900,4499.1,4580,4497.09,4543
1384735200,4540,4565,4521,4560.04
1384735500,4564.5,4600,4550,4600
1384735800,4599.06,4694,4597,4640
1384736100,4650,4651,4551,4651
1384736400,4650.1,4674.99,4650,4668
1384736700,4667,4669,4610.01,4666.25
1384737000,4660,4670,4631.9,4668
1384737300,4668.77,4669,4650,4653.86
1384737600,4653.8,4655,4635.01,4635.01
1384737900,4638.87,4664,4625,4664
1384738200,4661.03,4668.51,4651.01,4660
1384738500,4663.87,4680,4660.5,4680
1384738800,4679.99,4700,4670,4698.01
1384739100,4700,4870,4697.6,4851.18
1384739400,4851.18,4960,4850,4935
1384739700,4935,4935,4780,4810
1384740000,4810,4840,4737.7,4799.23
1384740300,4800,4800,4700,4720
1384740600,4720,4800,4705,4790
1384740900,4795.56,4877.77,4790,4820.03
1384741200,4820.03,4830.98,4751,4813.71
1384741500,4813.71,4830,4801,4821.97
1384741800,4817.4,4847.76,4816,4845
1384742100,4844.99,4895.5,4843,4886.39
1384742400,4890,4890,4840,4860
1384742700,4860.03,4978.99,4858,4965
1384743000,4972,5000,4932,4970
1384743300,4970,4994.99,4950,4978
1384743600,4970,4979.99,4901,4970
1384743900,4970,4978.99,4949,4955
1384744200,4960,4963,4907,4919.01
1384744500,4910,4916,4801,4844
1384744800,4849,4950,4840,4907
1384745100,4900,4943.76,4880,4928.7
1384745400,4926,4928,4891,4900
1384745700,4900,4927.77,4890,4917.97
1384746000,4916.01,4921,4905,4915
1384746300,4912.53,4960,4910,4959.91
1384746600,4951,4980,4923,4945
1384746900,4945.48,4959,4922,4922
1384747200,4938.3,4940,4911,4918
1384747500,4918,4941,4915,4936.97
1384747800,4936.97,4938,4920,4924.98
1384748100,4925,4930,4919.04,4921.44
1384748400,4922,4925.04,4918,4922
1384748700,4921.03,4923,4917,4920
1384749000,4919,4920,4900,4915.03
1384749300,4911.25,4911.25,4831.1,4898.99
1384749600,4884.4,4920,4850,4880
1384749900,4880.03,4888,4860,4870
1384750200,4868.31,4871.07,4749.89,4749.89
1384750500,4749.89,4750,4528,4642
1384750800,4610,4849,4600,4780
1384751100,4779.99,4799,4711,4796
1384751400,4791.66,4820,4770,4787
1384751700,4786.89,4800,4750,4752
1384752000,4756.54,4885,4749,4850
1384752300,4814.11,4880,4790,4849
1384752600,4849,4880.51,4811,4830
1384752900,4837.82,4900,4835.86,4870
1384753200,4851,4930,4846.79,4870
1384753500,4900,4928.97,4880,4913
1384753800,4912.97,4920,4881.1,4897.94
1384754100,4895.93,4897.97,4835,4845.37
1384754400,4842.08,4890,4842.08,4880
1384754700,4877,4884.99,4850,4865.2
1384755000,4852,4864.2,4755,4770
1384755300,4765.41,4852,4756.26,4846.9
1384755600,4825.01,4845,4790,4803
1384755900,4803.03,4830,4790,4819.97
1384756200,4813,4814.69,4785.1,4790
1384756500,4790.06,4816.5,4790,4800
1384756800,4807.89,4807.89,4800,4805
1384757100,4808,4810,4805.38,4809.38
1384757400,4809.37,4809.38,4801.9,4806.02
1384757700,4801.94,4805,4766.03,4774
1384758000,4774.5,4783.36,4752.8,4760
1384758300,4760.1,4778,4751,4778
1384758600,4779,4779,4751,4752.39
1384758900,4757.13,4801,4757.13,4800
1384759200,4800.02,4820,4774.09,4800.19
1384759500,4808.82,4830,4773.1,4784.13
1384759800,4786.38,4791.89,4778,4784.97
1384760100,4782.46,4792.01,4780,4784.92
1384760400,4784.9,4789,4783,4787.05
1384760700,4787.08,4810,4787.06,4803
1384761000,4805.01,4809.99,4797.59,4808.67
1384761300,4808.67,4829.98,4803,4822.24
1384761600,4829,4829.98,4822.24,4825.03
1384761900,4825.04,4829,4800.1,4820
1384762200,4802.89,4820,4800.1,4819
1384762500,4820,4821,4801.01,4811.94
1384762800,4804,4821,4799,4806.12
1384763100,4813.37,4824,4813.36,4819.99
1384763400,4819.99,4825,4818,4818
1384763700,4818.01,4824.9,4818.01,4819.95
1384764000,4819.95,4819.95,4800.02,4804.54
1384764300,4805.56,4814.99,4805.56,4814.5
1384764600,4814.92,4824.8,4813,4823.95
1384764900,4823.95,4823.95,4816,4818.01
1384765200,4818.01,4823,4814,4817.11
1384765500,4815.29,4817.29,4797.59,4810.05
1384765800,4810.12,4819.07,4810.1,4815
1384766100,4816.11,4818,4808.99,4809
1384766400,4808,4808,4792.01,4799.98
1384766700,4800,4800,4772.49,4772.49
1384767000,4771.21,4804,4765.24,4784.49
1384767300,4784.51,4839,4782.97,4830
1384767600,4830.04,4849,4830.04,4849
1384767900,4849,4861.88,4820,4849
1384768200,4833.06,4852.49,4820.1,4845.56
1384768500,4845.56,4860,4801.1,4835
1384768800,4835,4909.99,4834.88,4904.97
1384769100,4909.98,4921.04,4884.99,4915.97
1384769400,4915.97,4916.94,4801.57,4840
1384769700,4837.5,4864.99,4811.12,4864.99
1384770000,4863,4880,4839.96,4841.01
1384770300,4848.97,4882,4848.97,4878.64
1384770600,4878.64,4878.64,4869.99,4873.07
1384770900,4873.07,4876.99,4853.43,4871
1384771200,4871.05,4875,4866,4871
1384771500,4868.97,4871,4866.57,4871
1384771800,4871,4881.58,4870.99,4881.58
1384772100,4882.69,4910.98,4882.69,4910
1384772400,4903.71,4913.8,4902.7,4910.04
1384772700,4910.04,4929.99,4908.01,4922.31
1384773000,4922.31,4922.31,4902.7,4912.05
1384773300,4912.13,4920,4912.13,4913
1384773600,4915.11,4950,4914.96,4930
1384773900,4949,4985,4948,4985
1384774200,4985,4990,4958.01,4970
1384774500,4970.92,4988.01,4958.01,4960.01
1384774800,4960,4985,4960,4980
1384775100,4980.05,5050,4980,5002
1384775400,5020,5098,5005,5089.92
1384775700,5089.92,5112,5065,5112
1384776000,5115,5188,5100.01,5119.99
1384776300,5113.01,5199,5000,5050.01
1384776600,5050,5140,5049.94,5140
1384776900,5137,5149.94,5053.3,5102.03
1384777200,5118,5134,5102,5126.87
1384777500,5116,5130,5105,5118.19
1384777800,5118.19,5129.87,5052,5098
1384778100,5098,5123,5062,5090
1384778400,5090,5124.88,5089,5111.6
