date,open,high,low,close
1384453500,3541.4,3547.5,3540.03,3545
1384453800,3547.48,3550,3545,3549
1384454100,3549.99,3566.1,3546,3566.1
1384454400,3560.09,3579.99,3560,3575
1384454700,3579.99,3599,3576.61,3599
1384455000,3598.7,3600,3591.01,3599
1384455300,3599.21,3650,3599.11,3639.99
1384455600,3639.99,3680,3635,3657.99
1384455900,3660,3678.88,3657.99,3678
1384456200,3678,3687,3666.99,3685
1384456500,3680,3680,3600.02,3640
1384456800,3644.99,3649.88,3595,3630
1384457100,3630,3639.99,3610,3639.99
1384457400,3639.99,3669.99,3622,3669.99
1384457700,3669.99,3719.99,3660,3705
1384458000,3705,3745.04,3699.99,3728
1384458300,3720,3745.04,3701,3745.04
1384458600,3740,3745.04,3710,3725.3
1384458900,3725.3,3735,3720.99,3732
1384459200,3730.01,3745.03,3726,3743
1384459500,3743,3760,3742,3760
1384459800,3760,3773.98,3750,3766
1384460100,3762.1,3766,3740.01,3753
1384460400,3749,3750,3729,3734.99
1384460700,3739.99,3766,3739.99,3760.21
1384461000,3759.99,3766,3759.99,3766
1384461300,3761.7,3845,3760,3780
1384461600,3783.78,3845,3780,3825
1384461900,3830.99,3835,3820,3832
1384462200,3830,3836,3820,3836
1384462500,3830.1,3845,3825,3836
1384462800,3837,3888,3835.01,3888
1384463100,3850,3950,3850,3950
1384463400,3930,3950,3915,3940
1384463700,3940,3966,3920,3950
1384464000,3949,3976,3941,3976
1384464300,3976,3993,3955,3987
1384464600,3985,3998,3975,3990
1384464900,3990,3998,3930,3930
1384465200,3988,3998,3730,3838.37
1384465500,3900,3900,3578.5,3578.5
1384465800,3700,3850,3515.99,3550
1384466100,3680,3700,3515.99,3650.01
1384466400,3650.01,3708,3580,3708
1384466700,3700,3800,3640,3800
1384467000,3766,3800,3700,3750
1384467300,3730,3799,3700,3799
1384467600,3740,3799.99,3710.01,3750.99
1384467900,3766,3800,3750.99,3788
1384468200,3780,3800,3780,3798
1384468500,3798,3850,3791,3820
1384468800,3838.59,3888.88,3830,3880
1384469100,3880,3966,3860,3900
1384469400,3900,3966,3900,3950
1384469700,3950,3950,3900,3944.95
1384470000,3930.8,3946,3912,3944.4
1384470300,3941.99,3944.5,3905,3905
1384470600,3912,3930,3861,3861
1384470900,3888.8,3900,3860.99,3870.01
1384471200,3870.01,3888,3865.99,3868.01
1384471500,3870,3879.99,3866,3870
1384471800,3875,3880,3870,3879.1
1384472100,3880,3885,3870,3885
1384472400,3885,3904,3882.83,3904
1384472700,3905,3936,3904,3929.01
1384473000,3929.01,3940,3920,3937.88
1384473300,3930,3937,3921,3927
1384473600,3927,3928,3921,3925
1384473900,3926,3929,3923.53,3929
1384474200,3928.8,3940,3925,3938.88
1384474500,3938.89,3942.95,3938,3938.51
1384474800,3939.9,3939.9,3920,3928.51
1384475100,3928.5,3935,3926.02,3928
1384475400,3929.99,3930,3870,3879.99
1384475700,3870.1,3925.99,3870,3900
1384476000,3890.1,3900,3880,3887
1384476300,3890,3890,3800,3860
1384476600,3852.01,3860,3799.18,3840
1384476900,3811,3877.99,3811,3877.99
1384477200,3860,3897.88,3860,3889.99
1384477500,3890,3895,3881,3884.66
1384477800,3884.66,3884.66,3870,3878
1384478100,3877.03,3893,3875,3890
1384478400,3890,3892.88,3842,3866.69
1384478700,3866.69,3880,3851.02,3870
1384479000,3872.29,3874,3850,3866.99
1384479300,3855,3867,3850,3860
1384479600,3860.06,3862,3850.01,3856.99
1384479900,3851,3862.02,3841.51,3850
1384480200,3850,3855.1,3841.51,3846
1384480500,3845,3854.94,3842,3849
1384480800,3853.59,3864.42,3848.03,3860
1384481100,3860,3888,3860,3880
1384481400,3875.51,3885,3873,3880
1384481700,3880,3899,3880,3899
1384482000,3895.51,3902,3885,3900
1384482300,3902,3905,3890.1,3900
1384482600,3900,3900,3885.21,3895
1384482900,3894.8,3895,3885,3893.8
1384483200,3893.8,3897.5,3888.01,3897
1384483500,3895.61,3897.5,3885,3890
1384483800,3890,3890,3820,3875
1384484100,3869.8,3880,3831.11,3850
1384484400,3850,3880,3850,3880
1384484700,3876.96,3910,3868,3899
1384485000,3899,3924.99,3899,3900
1384485300,3900,3912,3886,3901
1384485600,3901,3909.5,3900,3905.7
1384485900,3903,3908,3890.11,3898
1384486200,3895.99,3900,3880,3890
1384486500,3892.66,3898,3889.85,3891.12
1384486800,3893.04,3895,3885,3893
1384487100,3891,3894,3888.11,3889
1384487400,3889.03,3891.98,3888,3891
1384487700,3890.51,3892,3890.1,3891.97
1384488000,3891.97,3920,3891.95,3919
1384488300,3919.98,3944,3919,3939
1384488600,3939,3959,3930,3950
1384488900,3950,3960,3947,3959
1384489200,3959.98,3977,3905,3968.12
1384489500,3968.12,3976,3960.11,3975
1384489800,3975,3980,3975,3978.01
1384490100,3978.97,3997,3975,3997
1384490400,3995,4000,3995,4000
1384490700,4000,4100,3998,4093
1384491000,4089,4149,4061,4149
1384491300,4149,4299,4139,4200
1384491600,4288,4388,4200,4380
1384491900,4380,4400,4350,4390
1384492200,4390,4399,4355,4397
1384492500,4381,4399,4300,4320
1384492800,4320,4321,4200,4280
1384493100,4259.61,4289.99,4200,4248.59
1384493400,4250,4280,4211,4280
1384493700,4280,4320,4250,4280
1384494000,4288,4349.3,4260,4305
1384494300,4335.28,4388,4305.03,4380
1384494600,4388,4435,4380,4422
1384494900,4435,4555,4421,4510.01
1384495200,4548,4687,4511,4600
1384495500,4600,4699,4600,4697.99
1384495800,4697.99,4700,4651,4680
1384496100,4688,4697,4670,4690.01
1384496400,4693,4796,4691,4780
1384496700,4785,4875,4785,4870
1384497000,4870,4879,4850,4850
1384497300,4850,4869,4450,4600
1384497600,4600,4777.77,4498,4774.99
1384497900,4770,4776,4700,4737.06
1384498200,4730,4738,4657,4657
1384498500,4657,4700,4500.01,4578.29
1384498800,4550,4610,4520,4602
1384499100,4609.99,4710,4600,4705
1384499400,4700.03,4705,4646.11,4650
1384499700,4646.11,4664,4623.01,4663.94
1384500000,4660,4670,4640,4670
1384500300,4670,4694.11,4669.97,4688.94
1384500600,4688.91,4689,4670,4670
1384500900,4679.99,4679.99,4600,4600
1384501200,4654.24,4654.24,4588.85,4646.61
1384501500,4646.62,4649.65,4637.08,4646.06
1384501800,4648,4689.99,4645.58,4674.38
1384502100,4674.4,4674.4,4615.6,4643.16
1384502400,4621.24,4659,4615.6,4638.11
1384502700,4640,4657.51,4640,4657.51
1384503000,4653.09,4780.69,4650,4780.69
1384503300,4780.69,4787,4719.1,4777.68
1384503600,4777,4777,4650,4668.21
1384503900,4680,4700,4650,4651
1384504200,4666.52,4699,4551.01,4640
1384504500,4640,4657.52,4632.23,4650
1384504800,4650,4685.02,4650,4665
1384505100,4665.03,4699.52,4651.01,4688
1384505400,4688,4694,4650,4650
1384505700,4650.01,4686.85,4321,4330
1384506000,4330,4648,4240,4583.85
1384506300,4595,4638,4550,4600
1384506600,4570.03,4600,4502,4554.82
1384506900,4545,4600,4545,4590
1384507200,4590,4590.16,4505,4587.99
1384507500,4580.96,4600,4522,4589.01
1384507800,4595.55,4780,4580.09,4685
1384508100,4780,4789,4690.03,4729.42
1384508400,4729.42,4730,4690.09,4690.09
1384508700,4691,4691,4600,4681.99
1384509000,4679.95,4690,4630.1,4690
1384509300,4690,4799.7,4651.04,4799.7
1384509600,4788.89,4875,4776.03,4875
1384509900,4875,4997,4874.03,4990.01
1384510200,4990,5000,4950,4952
1384510500,4983.98,4990,4901.1,4901.1
1384510800,4935,4935,4852,4899.49
1384511100,4891,4950,4852,4902.03
1384511400,4950,4955,4912,4940.99
1384511700,4940.99,4959.99,4922,4954.45
1384512000,4954.45,5115.96,4954.45,5040.01
1384512300,5040,5114.67,5040,5113
1384512600,5110.01,5160,5085,5130.01
1384512900,5136.1,5168.5,5128,5162
1384513200,5161.97,5169.99,5144.88,5169.99
1384513500,5169.99,5172,5006,5097.99
1384513800,5097,5130,5050,5109.67
1384514100,5111,5156.5,5105.03,5129
1384514400,5129,5150,5120.02,5148
1384514700,5145.06,5180,5132,5160
1384515000,5170,5199.99,5160.1,5196
1384515300,5198,5280,5196,5279.8
1384515600,5250,5380,5250,5380
1384515900,5380,5498,5320,5498
1384516200,5496.77,5566,5450,5500.13
1384516500,5530,5700,5500,5680
1384516800,5680,5699.16,5496,5668.16
1384517100,5668.16,5679,5500.13,5650
1384517400,5660,5667,5501,5600
1384517700,5648,5650,5505,5640
1384518000,5615,5646,5600,5600
1384518300,5610,5619.88,5580,5580
1384518600,5581.97,5620,5580,5600
1384518900,5610,5658,5601,5658
1384519200,5656,5888,5656,5888
